2024-12-06 15:44:27,974 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:27,974 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,041 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,057 - INFO - [logger.py:39] - Packet captured - Source: 13.67.9.5, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,057 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 13.67.9.5, Protocol: TCP
2024-12-06 15:44:28,315 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:28,316 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:28,324 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:28,327 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:28,328 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,338 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,338 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,339 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,339 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,339 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,354 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,355 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,355 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,356 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,369 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,369 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,370 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,370 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,370 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,371 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,371 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,372 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,372 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,373 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,373 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,373 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,374 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,384 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,384 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,385 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,386 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,386 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,387 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,394 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,395 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,395 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,396 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,396 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,397 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,397 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,398 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,398 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,399 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,399 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,399 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,400 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,400 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,401 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,401 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,401 - INFO - [logger.py:58] - Processed 100 packets
2024-12-06 15:44:28,402 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,402 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,403 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,403 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,404 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,404 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,405 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,405 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,406 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,406 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,406 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:28,407 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,407 - INFO - [logger.py:39] - Packet captured - Source: 117.18.232.200, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:28,408 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 117.18.232.200, Protocol: TCP
2024-12-06 15:44:30,206 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:30,207 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 116.72.253.254, Protocol: UDP
2024-12-06 15:44:30,213 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:30,217 - INFO - [logger.py:39] - Packet captured - Source: 116.72.253.254, Destination: 10.0.2.15, Protocol: UDP
2024-12-06 15:44:30,218 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
